Simulation	SoftwareName	JaamSim	-
Simulation	SoftwareVersion	2022-07	-
Simulation	ConfigurationFile	C:\Users\dcla189\OneDrive - The University of Auckland\2023 Sem2\2023.2\355JaamSim\group\complete_model.cfg	-
Simulation	ScenarioNumber	1.0	-
Simulation	ScenarioIndex	{ 1 }	-
Simulation	ReplicationNumber	1.0	-
Simulation	RunNumber	1.0	-
Simulation	RunIndex	{ 1 }	-
Simulation	PresentTimeAndDate	Oct 18, 2023 12:12	-
Simulation	InitializationDuration	168.0	h
Simulation	RunDuration	504.0	h
Simulation	PresentSimulationTime	0.0	h

this.SimTime/1[h]	Scenario	Replication	this.obj	Event	EventTime
2.9141626077777776	1	1	Orderly5	PatientTransit.pickup	1.7060114716666666
2.9141626077777776	1	1	Orderly5	PatientTransit.travel-to-destination	1.7214743705555555
2.9141626077777776	1	1	Orderly5	PatientTransit.dropoff	1.7965514652777776
2.9141626077777776	1	1	Orderly5	PatientTransit.wait-at-dropoff	1.8071658416666665
2.9141626077777776	1	1	Orderly5	PatientTransit.orderly-travel-to-patient	2.0335523233333332
2.9141626077777776	1	1	Orderly5	PatientTransit.pickup	2.0869421919444444
2.9141626077777776	1	1	Orderly5	PatientTransit.travel-to-destination	2.1212027452777775
2.9141626077777776	1	1	Orderly5	PatientTransit.dropoff	2.5217697016666665
2.9141626077777776	1	1	Orderly5	PatientTransit.wait-at-dropoff	2.5265968119444446
2.9141626077777776	1	1	Orderly5	PatientTransit.travel-to-base	2.8599301452777777
2.9141626077777776	1	1	Orderly5	PatientTransit.wait-task-orderly	2.9141626077777776
2.985469290277778	1	1	Orderly3	PatientTransit.orderly-travel-to-patient	1.2107214591666666
2.985469290277778	1	1	Orderly3	PatientTransit.pickup	1.3435233794444446
2.985469290277778	1	1	Orderly3	PatientTransit.travel-to-destination	1.4107710369444444
2.985469290277778	1	1	Orderly3	PatientTransit.dropoff	2.513857459722222
2.985469290277778	1	1	Orderly3	PatientTransit.wait-at-dropoff	2.5166404499999997
2.985469290277778	1	1	Orderly3	PatientTransit.travel-to-base	2.849973783333333
2.985469290277778	1	1	Orderly3	PatientTransit.wait-task-orderly	2.985469290277778
3.0826675555555556	1	1	Orderly4	PatientTransit.orderly-travel-to-patient	1.3224403661111113
3.0826675555555556	1	1	Orderly4	PatientTransit.pickup	1.3273886916666666
3.0826675555555556	1	1	Orderly4	PatientTransit.travel-to-destination	1.3828569008333331
3.0826675555555556	1	1	Orderly4	PatientTransit.dropoff	1.652427659722222
3.0826675555555556	1	1	Orderly4	PatientTransit.wait-at-dropoff	1.6754046652777779
3.0826675555555556	1	1	Orderly4	PatientTransit.orderly-travel-to-patient	1.9829500263888886
3.0826675555555556	1	1	Orderly4	PatientTransit.pickup	2.0192192097222224
3.0826675555555556	1	1	Orderly4	PatientTransit.travel-to-destination	2.05349827
3.0826675555555556	1	1	Orderly4	PatientTransit.dropoff	2.4802014794444442
3.0826675555555556	1	1	Orderly4	PatientTransit.wait-at-dropoff	2.6817485005555555
3.0826675555555556	1	1	Orderly4	PatientTransit.travel-to-base	3.015081833888889
3.0826675555555556	1	1	Orderly4	PatientTransit.wait-task-orderly	3.0826675555555556
3.3102713052777775	1	1	Orderly2	PatientTransit.orderly-travel-to-patient	1.1392499111111112
3.3102713052777775	1	1	Orderly2	PatientTransit.pickup	1.2792103191666666
3.3102713052777775	1	1	Orderly2	PatientTransit.travel-to-destination	1.3460314691666664
3.3102713052777775	1	1	Orderly2	PatientTransit.dropoff	2.090619789722222
3.3102713052777775	1	1	Orderly2	PatientTransit.wait-at-dropoff	2.094512423611111
3.3102713052777775	1	1	Orderly2	PatientTransit.orderly-travel-to-patient	2.2523021294444443
3.3102713052777775	1	1	Orderly2	PatientTransit.pickup	2.3025527658333336
3.3102713052777775	1	1	Orderly2	PatientTransit.travel-to-destination	2.3567831852777776
3.3102713052777775	1	1	Orderly2	PatientTransit.dropoff	2.451692687777778
3.3102713052777775	1	1	Orderly2	PatientTransit.wait-at-dropoff	2.4640634536111112
3.3102713052777775	1	1	Orderly2	PatientTransit.orderly-travel-to-patient	2.672604250833333
3.3102713052777775	1	1	Orderly2	PatientTransit.pickup	2.7738317075
3.3102713052777775	1	1	Orderly2	PatientTransit.travel-to-destination	2.795394533333333
3.3102713052777775	1	1	Orderly2	PatientTransit.dropoff	2.8808881011111107
3.3102713052777775	1	1	Orderly2	PatientTransit.wait-at-dropoff	2.925213559166666
3.3102713052777775	1	1	Orderly2	PatientTransit.travel-to-base	3.2585468924999996
3.3102713052777775	1	1	Orderly2	PatientTransit.wait-task-orderly	3.3102713052777775
4.347584770277777	1	1	Orderly1	PatientTransit.orderly-travel-to-patient	2.503890442222222
4.347584770277777	1	1	Orderly1	PatientTransit.pickup	2.5900123286111114
4.347584770277777	1	1	Orderly1	PatientTransit.travel-to-destination	2.850064535277778
4.347584770277777	1	1	Orderly1	PatientTransit.dropoff	2.8997364002777775
4.347584770277777	1	1	Orderly1	PatientTransit.wait-at-dropoff	2.934276886111111
4.347584770277777	1	1	Orderly1	PatientTransit.orderly-travel-to-patient	3.2661448016666665
4.347584770277777	1	1	Orderly1	PatientTransit.pickup	3.4283416716666664
4.347584770277777	1	1	Orderly1	PatientTransit.travel-to-destination	3.451076270833333
4.347584770277777	1	1	Orderly1	PatientTransit.dropoff	3.947829698611111
4.347584770277777	1	1	Orderly1	PatientTransit.wait-at-dropoff	3.9838942877777774
4.347584770277777	1	1	Orderly1	PatientTransit.travel-to-base	4.317227621111111
4.347584770277777	1	1	Orderly1	PatientTransit.wait-task-orderly	4.347584770277777
4.559533599166667	1	1	Orderly5	PatientTransit.orderly-travel-to-patient	3.0285295705555555
4.559533599166667	1	1	Orderly5	PatientTransit.pickup	3.0608514558333333
4.559533599166667	1	1	Orderly5	PatientTransit.travel-to-destination	3.4306541983333334
4.559533599166667	1	1	Orderly5	PatientTransit.dropoff	3.9359473747222222
4.559533599166667	1	1	Orderly5	PatientTransit.wait-at-dropoff	3.9903156063888887
4.559533599166667	1	1	Orderly5	PatientTransit.travel-to-base	4.323648939722222
4.559533599166667	1	1	Orderly5	PatientTransit.wait-task-orderly	4.559533599166667
5.496122843333333	1	1	Orderly6	PatientTransit.orderly-travel-to-patient	2.8906532088888888
5.496122843333333	1	1	Orderly6	PatientTransit.pickup	3.330050288055556
5.496122843333333	1	1	Orderly6	PatientTransit.travel-to-destination	3.361650511388889
5.496122843333333	1	1	Orderly6	PatientTransit.dropoff	3.4276683730555555
5.496122843333333	1	1	Orderly6	PatientTransit.wait-at-dropoff	3.625864443888889
5.496122843333333	1	1	Orderly6	PatientTransit.orderly-travel-to-patient	3.703713725833333
5.496122843333333	1	1	Orderly6	PatientTransit.pickup	3.7815683444444446
5.496122843333333	1	1	Orderly6	PatientTransit.travel-to-destination	3.8744825711111113
5.496122843333333	1	1	Orderly6	PatientTransit.dropoff	4.593297739444444
5.496122843333333	1	1	Orderly6	PatientTransit.wait-at-dropoff	4.66246752
5.496122843333333	1	1	Orderly6	PatientTransit.orderly-travel-to-patient	4.66246752
5.496122843333333	1	1	Orderly6	PatientTransit.pickup	4.756009469166666
5.496122843333333	1	1	Orderly6	PatientTransit.travel-to-destination	4.792670511944444
5.496122843333333	1	1	Orderly6	PatientTransit.dropoff	5.0834937827777775
