adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
FALSE,/3ombg55JQiIpoPnXYb2oYdr6DtP.jpg,,560144,en,Skylines,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",29.681,/2W4ZvACURDyhiNnSIaFPHfNbny3.jpg,2020-10-25,Skylines,FALSE,5.6,476
FALSE,/tQFwpwJg6Je7l6A8rgRZ8yefvdV.jpg,,37686,en,Super 8,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.",33.86,/sytFL6ALMAesKZoarlp7bIDKnns.jpg,2011-06-08,Super 8,FALSE,6.8,6127
FALSE,/8mTHUXS3vwub5ZlovQkZ8veQUah.jpg,,330459,en,Rogue One: A Star Wars Story,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,34.087,/i0yw1mFbB7sNGHCs7EXZPzFkdA1.jpg,2016-12-14,Rogue One: A Star Wars Story,FALSE,7.5,14203
FALSE,/npDrIM6ZbuD7nUxI7ZzNBxs4IRF.jpg,,54138,en,Star Trek Into Darkness,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",35.652,/7XrRkhMa9lQ71RszzSyVrJVvhyS.jpg,2013-05-05,Star Trek Into Darkness,FALSE,7.3,8500
FALSE,/AnA7leKuH68mwHCf7beWjp6GSqm.jpg,,46529,en,I Am Number Four,"A teenage fugitive with an incredible secret races to stay one step ahead of the mysterious forces seeking destroy him in this sci-fi action thriller. With three dead and one on the run, the race to find the elusive Number Four begins. Outwardly normal teen John Smith never gets too comfortable in the same identity, and along with his guardian, Henri, he is constantly moving from town to town. With each passing day, John gains a stronger grasp on his extraordinary new powers, and his bond to the beings that share his fantastic fate grows stronger.",24.029,/973sCL0OjAk2Igq46SDwhyDFv3n.jpg,2011-02-18,I Am Number Four,FALSE,6.2,4317
FALSE,/ikr0UILfvRerzMNoBTtJtyuWAEV.jpg,,8078,en,Alien Resurrection,"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth.",30.752,/9aRDMlU5Zwpysilm0WCWzU2PCFv.jpg,1997-11-12,Alien Resurrection,FALSE,6.1,4301
FALSE,/hqrwXs3KqPuU5rWoconbmQUn6rh.jpg,,299687,en,The 5th Wave,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,28.392,/37vpRkrD4OxQN0MQ7C59eszkylh.jpg,2016-01-14,The 5th Wave,FALSE,5.9,5439
FALSE,/wNQpfAZkySbinb93qVwWIWaot1x.jpg,,809107,en,Z-O-M-B-I-E-S 3,"Zed and Addison are beginning their final year at Seabrook High in the town that’s become a safe haven for monsters and humans alike. Zed is anticipating an athletic scholarship that will make him the first Zombie to attend college, while Addison is gearing up for Seabrook’s first international cheer-off competition. Then suddenly, extraterrestrial beings appear around Seabrook, provoking something other than friendly competition.",24.175,/2QxbpQgzmTQjezu9YOeBk8JFzKg.jpg,2022-07-09,Z-O-M-B-I-E-S 3,FALSE,7.5,337
FALSE,/f1jJPQ0RhgSOOfBprCJd9ZJMbet.jpg,,49849,en,Cowboys & Aliens,"A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde, he finds himself leading an unlikely posse of cowboys, outlaws, and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.",26.787,/9uZsGCP4rvOHVGCpMpYq5gNCuNI.jpg,2011-07-29,Cowboys & Aliens,FALSE,5.6,4665
FALSE,/bmAzESah8IUNRQX5MqeyUrhE5Pr.jpg,,2666,en,Dark City,"A man struggles with memories of his past, including a wife he cannot remember, in a nightmarish world with no sun and run by beings with telekinetic powers who seek the souls of humans.",31.173,/eudlRpBPNQQKezaHxEavNecvc1X.jpg,1998-02-27,Dark City,FALSE,7.3,2460
FALSE,/rRGl4Uqo962I2iqQSOT8nArWNWd.jpg,,887357,en,Green Lantern: Beware My Power,"Recently discharged Marine sniper John Stewart is at a crossroads in his life, one which is only complicated by receiving an extraterrestrial ring which grants him the powers of the Green Lantern of Earth. Unfortunately, the ring doesn't come with instructions - but it does come with baggage, like a horde of interplanetary killers bent on eliminating every Green Lantern in the universe. Now, with the aid of the light-hearted Green Arrow, Adam Strange and Hawkgirl, this reluctant soldier must journey into the heart of a galactic Rann/Thanagar war and somehow succeed where all other Green Lanterns have failed.",27.012,/nS41LN1m2HYvVotvgOTcbPW2cjL.jpg,2022-05-19,Green Lantern: Beware My Power,FALSE,6.9,160
FALSE,/8gc00CJuQKNToUJq1cAmTtb4zmc.jpg,,39144,ja,ドラゴンボール 神龍の伝説,The great King Gurumes is searching for the Dragon Balls in order to put a stop to his endless hunger. A young girl named Pansy who lives in the nearby village has had enough of the treachery and decides to seek Muten Rōshi for assistance. Can our heroes save the village and put a stop to the Gurumes Army?,26.649,/dZCWRFJnwyxYOhzAhf7Xyru4moB.jpg,1986-12-20,Dragon Ball: Curse of the Blood Rubies,FALSE,6.8,270
FALSE,/2FYzxgLNuNVwncilzUeCGbOQzP7.jpg,,479455,en,Men in Black: International,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest, most global threat to date: a mole in the Men in Black organization.",32.817,/dPrUPFcgLfNbmDL8V69vcrTyEfb.jpg,2019-06-12,Men in Black: International,FALSE,5.9,4392
FALSE,/ikIQVTPOBUIEpOZAA3IU6LI94E2.jpg,,282070,ja,寄生獣 完結編,"Alien pods come to Earth and, naturally, start taking over Human Hosts. One such pod only manages to take over one human's, Shin Izumi, right arm. Together they grow and co-exist, all the while the other aliens are making meals of other humans; Shin feels he must put a stop to it all, but his alien, Migi, doesn't see why.",22.844,/qO8zQ9dSADWiwRnR7oCOsPDuOom.jpg,2015-04-25,Parasyte: Part 2,FALSE,7.1,153
